freq , before     , after
66   , '='        , '=='
56   , '='        , ':'
35   , ','        , ':'
30   , ':'        , ','
28   , '['        , '{'
27   , ']'        , '}'
20   , '.'        , ','
18   , ')'        , ']'
18   , ']'        , ')'
14   , 'import'   , 'from'
12   , '('        , '['
12   , ')'        , '}'
11   , '}'        , ')'
10   , ','        , 'as'
8    , '...'      , ','
7    , '->'       , '.'
6    , 'from'     , 'import'
6    , ';'        , ','
6    , '}'        , ']'
5    , 'if'       , 'for'
5    , '.'        , '...'
5    , ','        , ']'
4    , ':'        , '-'
4    , '/'        , '.'
4    , '.'        , 'import'
4    , ':'        , '='
4    , '.'        , ']'
4    , '*'        , '**'
4    , ','        , '}'
4    , ';'        , ':'
3    , 'as'       , 'for'
3    , 'or'       , 'else'
3    , '...'      , ']'
3    , '...'      , '.'
3    , '.'        , ':'
3    , '['        , '('
3    , '{'        , '['
3    , '('        , '{'
3    , '['        , ']'
3    , '{'        , '('
3    , 'is'       , 'if'
3    , ';'        , ')'
3    , ':'        , ')'
2    , '-'        , ','
2    , 'def'      , 'class'
2    , '('        , ','
2    , ','        , '%'
2    , ')'        , '('
2    , 'else'     , 'if'
2    , 'in'       , '='
2    , '+='       , '+'
2    , ':'        , '.'
2    , '...'      , '['
2    , '='        , ','
2    , '...'      , '('
2    , ':'        , ']'
2    , 'for'      , 'in'
2    , '='        , '>='
2    , ','        , '('
2    , 'else'     , 'in'
2    , 'from'     , 'for'
2    , 'as'       , 'import'
2    , ','        , '.'
2    , ')'        , ':'
2    , '('        , ')'
2    , '.'        , ')'
2    , ':'        , 'else'
2    , '='        , '!='
1    , 'else'     , 'except'
1    , '.'        , 'in'
1    , 'for'      , ';'
1    , '.'        , '='
1    , '{'        , ':'
1    , '}'        , 'pass'
1    , '='        , '+'
1    , 'for'      , '...'
1    , '...'      , '}'
1    , '{'        , ','
1    , '='        , '.'
1    , ')'        , ','
1    , 'else'     , 'elif'
1    , '...'      , ')'
1    , 'and'      , ':'
1    , 'in'       , 'is'
1    , ';'        , '-'
1    , 'elif'     , 'if'
1    , '...'      , '='
1    , '='        , '<'
1    , ':'        , '('
1    , '>>'       , 'while'
1    , '<'        , '['
1    , '>'        , ']'
1    , '->'       , '['
1    , '*'        , '('
1    , 'for'      , 'from'
1    , ','        , '='
1    , '...'      , ':'
1    , ':'        , '/'
1    , '.'        , '>'
1    , 'while'    , 'with'
1    , '<'        , '('
1    , 'as'       , '='
1    , '>>'       , 'assert'
1    , 'not'      , '!='
1    , '...'      , '*'
1    , '}'        , ','
1    , '('        , '='
1    , '*='       , '*'
1    , '/'        , ')'
1    , '->'       , ','
1    , '*'        , '['
1    , '*'        , ']'
1    , '+'        , ','
1    , '%'        , '{'
1    , 'pass'     , 'None'
1    , '='        , 'is'
1    , 'elif'     , 'for'
1    , '.'        , '['
1    , '('        , ']'
1    , '['        , '.'
1    , 'if'       , 'in'
1    , ','        , '+'
1    , 'for'      , 'if'
1    , 'is'       , 'in'
1    , 'def'      , 'del'
1    , 'continue' , 'False'
1    , '%'        , '='